num;NAME;Gl;Gb;RAJD;DECJD;P0;DM;S1400;R_LUM14;
num;;(deg);(deg);(deg);(deg);(s);(cm^-3pc);(mJy);(mJykpc^2);
1;J0002+6216;117.327;-0.074;0.742375;62.269278;0.115364;218.60;0.02;8.90e-01;
2;J0006+1834;108.172;-42.985;1.520000;18.583056;0.693748;11.41;*;*;
3;J0007+7303;119.660;10.463;1.757083;73.052056;0.315873;*;*;*;
4;J0011+08;106.228;-53.407;2.891667;8.166667;2.552870;24.90;*;*;
5;B0011+47;116.497;-14.631;3.573958;47.775944;1.240699;30.41;3.00;9.51e+00;
6;J0023+0923;111.383;-52.849;5.820326;9.389963;0.003050;14.33;0.48;5.93e-01;
7;J0024-7204aa;305.895;-44.889;6.023625;-72.081283;0.001840;24.97;*;*;
8;J0024-7204ab;305.891;-44.891;6.034006;-72.079889;0.003705;24.37;*;*;
9;B0021-72C;305.923;-44.892;5.959811;-72.075418;0.005757;24.60;0.60;1.32e+01;
10;B0021-72D;305.881;-44.893;6.057837;-72.078848;0.005358;24.73;*;*;
11;B0021-72E;305.883;-44.883;6.046272;-72.088930;0.003536;24.24;*;*;
12;B0021-72F;305.899;-44.892;6.016064;-72.078561;0.002624;24.38;*;*;
13;B0021-72G;305.891;-44.893;6.033168;-72.077695;0.004040;24.44;*;*;
14;B0021-72H;305.896;-44.902;6.027930;-72.068557;0.003210;24.37;*;*;
15;B0021-72I;305.892;-44.893;6.033061;-72.077689;0.003485;24.43;*;*;
16;B0021-72J;305.909;-44.903;5.997532;-72.066331;0.002101;24.59;*;*;
17;B0021-72L;305.898;-44.888;6.015717;-72.082479;0.004346;24.40;*;*;
18;B0021-72M;305.913;-44.877;5.977041;-72.091877;0.003677;24.43;*;*;
19;B0021-72N;305.890;-44.897;6.038283;-72.074692;0.003054;24.57;*;*;
20;J0024-7204O;305.897;-44.889;6.019386;-72.081602;0.002643;24.36;*;*;
21;J0024-7204P;305.872;-44.904;6.083333;-72.069444;0.003643;24.29;*;*;
22;J0024-7204Q;305.877;-44.899;6.068712;-72.073657;0.004033;24.27;*;*;
23;J0024-7204R;305.892;-44.890;6.031605;-72.080665;0.003480;24.36;*;*;
24;J0024-7204S;305.898;-44.892;6.016581;-72.078431;0.002830;24.38;*;*;
25;J0024-7204T;305.890;-44.894;6.035621;-72.077481;0.007588;24.41;*;*;
26;J0024-7204U;305.890;-44.905;6.040986;-72.066580;0.004343;24.34;*;*;
27;J0024-7204V;305.895;-44.889;6.023625;-72.081283;0.004810;24.11;*;*;
28;J0024-7204W;305.894;-44.890;6.025242;-72.080302;0.002352;24.37;*;*;
29;J0024-7204X;305.877;-44.952;6.093274;-72.021512;0.004772;24.54;*;*;
30;J0024-7204Y;305.903;-44.891;6.005844;-72.078288;0.002197;24.47;*;*;
